x_m,n_CH4_modeC_1m3,n_H2_modeC_1m3,n_He3_modeC_1m3,n_He4_modeC_1m3
4.104166667e-01,0.000000000e+00,6.569156101e+06,0.000000000e+00,0.000000000e+00
4.145833333e-01,0.000000000e+00,5.337235461e+06,0.000000000e+00,0.000000000e+00
4.187500000e-01,0.000000000e+00,4.098108222e+06,0.000000000e+00,0.000000000e+00
4.229166667e-01,0.000000000e+00,2.852225779e+06,0.000000000e+00,0.000000000e+00
4.270833333e-01,0.000000000e+00,1.600044026e+06,0.000000000e+00,0.000000000e+00
4.312500000e-01,0.000000000e+00,8.975940509e+05,0.000000000e+00,0.000000000e+00
4.354166667e-01,0.000000000e+00,5.035330735e+05,0.000000000e+00,0.000000000e+00
4.395833333e-01,0.000000000e+00,2.824724180e+05,0.000000000e+00,0.000000000e+00
4.437500000e-01,0.000000000e+00,1.584616324e+05,0.000000000e+00,0.000000000e+00
4.479166667e-01,0.000000000e+00,8.889397074e+04,0.000000000e+00,0.000000000e+00
4.520833333e-01,0.000000000e+00,4.986786922e+04,0.000000000e+00,0.000000000e+00
4.562500000e-01,0.000000000e+00,2.797501691e+04,0.000000000e+00,0.000000000e+00
4.604166667e-01,0.000000000e+00,1.569362321e+04,0.000000000e+00,0.000000000e+00
4.645833333e-01,0.000000000e+00,8.804134556e+03,0.000000000e+00,0.000000000e+00
4.687500000e-01,0.000000000e+00,4.939510330e+03,0.000000000e+00,0.000000000e+00
4.729166667e-01,0.000000000e+00,2.771972183e+03,0.000000000e+00,0.000000000e+00
4.770833333e-01,0.000000000e+00,1.556816017e+03,0.000000000e+00,0.000000000e+00
4.812500000e-01,0.000000000e+00,8.765529712e+02,0.000000000e+00,0.000000000e+00
4.854166667e-01,0.000000000e+00,4.974736127e+02,0.000000000e+00,0.000000000e+00
4.895833333e-01,0.000000000e+00,2.893553744e+02,0.000000000e+00,0.000000000e+00
4.937500000e-01,0.000000000e+00,1.807281739e+02,0.000000000e+00,0.000000000e+00
4.979166667e-01,0.000000000e+00,1.343309828e+02,0.000000000e+00,0.000000000e+00
