tau_c,he3_he4_contrast,nv_contrast_10mK,thermal_recovery_time,mode_isolation_leak
1.6078678015e-05,5.1987764360e-01,1.1514362566e-01,3.2228292343e-07,5.1528036318e-04
1.6524234740e-05,5.1373639985e-01,1.1899554710e-01,3.2379945722e-07,5.0947080992e-04
1.6195726271e-05,5.1896362610e-01,1.1808346944e-01,2.9313983138e-07,5.1809156220e-04
1.6367057449e-05,5.2259189101e-01,1.2039765795e-01,3.2018607421e-07,5.1703151458e-04
1.1145070746e-04,5.1282644424e-01,2.2806331045e-01,2.5464004423e-07,2.8453033107e-04
5.3435345026e-05,5.0939356093e-01,1.9807954854e-01,2.4853642440e-07,2.8598419629e-04
1.7052896937e-05,5.1582438893e-01,1.3491096319e-01,3.1270669140e-07,5.1446331104e-04
1.5600984172e-05,5.1438859470e-01,1.2965590713e-01,3.1428252626e-07,5.0904913090e-04
1.6066972476e-05,5.1541423695e-01,1.3022339289e-01,3.2331517498e-07,5.1696012068e-04
1.5782728853e-05,5.1964413934e-01,1.1779657589e-01,3.2935781114e-07,5.1860187820e-04
1.6422239363e-05,5.2378251749e-01,1.3552416906e-01,3.2418995410e-07,5.1303075694e-04
6.5212800887e-05,5.1164746829e-01,2.2795675549e-01,2.5086006725e-07,2.7615779124e-04
1.6346573829e-05,5.2556811373e-01,1.2732894860e-01,3.1462685659e-07,5.1659712450e-04
1.6333627348e-05,5.2406422026e-01,1.1788442781e-01,2.8746179697e-07,5.0661933832e-04
1.5949312476e-05,5.1997131781e-01,1.0331943565e-01,2.9796965209e-07,5.1487773556e-04
1.6794108886e-05,5.1316392180e-01,1.3137792096e-01,3.0236788327e-07,5.1699505179e-04
3.2863001985e-05,5.0988151128e-01,1.8025986304e-01,2.5767487279e-07,2.7860523336e-04
1.6784052455e-04,5.5366808554e-01,-1.0961712639e-02,4.1049154245e-07,5.9912514162e-04
1.6684928377e-05,5.1982977127e-01,1.2648147180e-01,3.0794564536e-07,5.0564082600e-04
1.6345646313e-05,5.1887174951e-01,1.2507476547e-01,3.1197438027e-07,5.1786576143e-04
1.5928746246e-05,5.1129229559e-01,1.3307746255e-01,3.3194716122e-07,5.1503637432e-04
1.7128149488e-05,5.1862354015e-01,1.3145920789e-01,2.9707070629e-07,5.0803797836e-04
7.6016476638e-05,5.1510741510e-01,2.4228291316e-01,2.5559611135e-07,2.8919560542e-04
1.6690365000e-05,5.1940758563e-01,1.2769449979e-01,3.1758720914e-07,5.1597408013e-04
1.4662254710e-04,5.1152600683e-01,2.1860122466e-01,2.5030948898e-07,2.7354171015e-04
7.3765470272e-05,5.1417744540e-01,2.0807182585e-01,2.4975500747e-07,2.5583202285e-04
1.3419430396e-04,5.1046358767e-01,2.3054255249e-01,2.5252035934e-07,2.5939371794e-04
9.5104530376e-05,5.1223405758e-01,2.6037447584e-01,2.5743925218e-07,2.7711455320e-04
2.8276794578e-04,5.4893251236e-01,8.8712413448e-02,4.1206751390e-07,5.9438651738e-04
8.8756373475e-05,5.1254418977e-01,2.1484931743e-01,2.5103725976e-07,2.7011185147e-04
2.6048672574e-05,5.1208357460e-01,1.8565816932e-01,2.4613991396e-07,2.6601904879e-04
1.6682498907e-04,5.4977220271e-01,1.3689592621e-01,4.0422429455e-07,6.0444191296e-04
1.5708752547e-05,5.2065985820e-01,1.1748563378e-01,2.8348031920e-07,5.1458684315e-04
1.6116113495e-05,5.1858283096e-01,1.2130943739e-01,3.1415187792e-07,5.1571683177e-04
1.4846781268e-05,5.1943311281e-01,1.2470842820e-01,3.1773682558e-07,5.1253503218e-04
1.2668792732e-04,5.0787310189e-01,2.2286693012e-01,2.6216741723e-07,2.6860770519e-04
1.6456323444e-05,5.2431361782e-01,1.2797335949e-01,2.9838087012e-07,5.0693178042e-04
1.7459146069e-05,5.1711027810e-01,1.2974959815e-01,2.7691136213e-07,5.1795431005e-04
8.8050801844e-05,5.0929259588e-01,2.3183521197e-01,2.6191004433e-07,2.7756955726e-04
1.6690636259e-05,5.2009696381e-01,1.2872231399e-01,3.1154848597e-07,5.0960487226e-04
1.5462292519e-05,5.2173310197e-01,1.2466982631e-01,3.1081459467e-07,5.1454270865e-04
1.7351584990e-05,5.1639154308e-01,1.3896962517e-01,3.1345997778e-07,5.2095746940e-04
1.5760539586e-05,5.1393022719e-01,1.2811294983e-01,3.2473055082e-07,5.1600805926e-04
1.1999925762e-04,5.1128568682e-01,1.8827701756e-01,2.6343173363e-07,2.7853099813e-04
1.6333481651e-05,5.1555183968e-01,1.2645457983e-01,2.9483923817e-07,5.1193484377e-04
1.6358847313e-05,5.1672366427e-01,1.2625183449e-01,2.8137549783e-07,5.1682732122e-04
5.3393006856e-05,5.0880369995e-01,2.2901838056e-01,2.5510104355e-07,2.7179790951e-04
9.5720582044e-05,5.1206072013e-01,2.4180088537e-01,2.5523388482e-07,2.7937753344e-04
1.6671459752e-05,5.1274037081e-01,1.0893678429e-01,3.0496005335e-07,5.0778301756e-04
1.2760268071e-04,5.5061985220e-01,7.0596346136e-02,4.1691434866e-07,6.1359083939e-04
1.5953990179e-05,5.1918610306e-01,1.3459388377e-01,3.0438627470e-07,5.1485446134e-04
6.6536602004e-05,5.0972480700e-01,2.4987904114e-01,2.5291330061e-07,2.8681098328e-04
1.6081761799e-05,5.1640062961e-01,1.1406125726e-01,3.0536574818e-07,5.1723694915e-04
1.7044388151e-05,5.1883365339e-01,1.1838242459e-01,3.1242399362e-07,5.1311504325e-04
1.6037524982e-04,5.1052235852e-01,2.6545787116e-01,2.5470706355e-07,2.6956032782e-04
1.5709202809e-05,5.1600520716e-01,1.1446366516e-01,3.3599896836e-07,5.1572636662e-04
1.3732060381e-04,5.5192146851e-01,1.9957007022e-01,4.1085580496e-07,5.8943934014e-04
8.7579651121e-05,5.0972322937e-01,1.9120360630e-01,2.5599296666e-07,2.6967939152e-04
5.1784076703e-05,5.1159518360e-01,1.7712325123e-01,2.4977856790e-07,2.8077957444e-04
9.0407143041e-05,5.1189257957e-01,2.5945163735e-01,2.5329448619e-07,2.7669401208e-04
4.9669980633e-05,5.0893732966e-01,2.2853637874e-01,2.5687460222e-07,2.6865670953e-04
1.6126015575e-05,5.1682218403e-01,1.1685802994e-01,3.1131562558e-07,5.0900266638e-04
1.5682890685e-05,5.2567990827e-01,1.2094426210e-01,3.2483707692e-07,5.0973226816e-04
8.2612965523e-05,5.1323555804e-01,2.0554487045e-01,2.5295482844e-07,2.6651872811e-04
1.6640541244e-05,5.1900855502e-01,1.1334843444e-01,2.8839327550e-07,5.0703548092e-04
9.7911263295e-05,5.1443599839e-01,2.2844975141e-01,2.5530630392e-07,2.7412954282e-04
3.0931004031e-05,5.0951023399e-01,2.3688221418e-01,2.5576296310e-07,2.5899678749e-04
1.6491862233e-05,5.2094529285e-01,1.1412395607e-01,3.1296738434e-07,5.1569572237e-04
8.0301415963e-05,5.0913675957e-01,2.3688500315e-01,2.5536143299e-07,2.7809845392e-04
1.5942903698e-04,5.1150906765e-01,2.3806623339e-01,2.5331582594e-07,2.7062656587e-04
4.4001204362e-05,5.0671167023e-01,1.8961056574e-01,2.5991495939e-07,2.7446593637e-04
1.5599746559e-05,5.2667944016e-01,1.1065168546e-01,3.2474391239e-07,5.1619301231e-04
1.6018194659e-05,5.2271764432e-01,1.2566249651e-01,3.0868523464e-07,5.0639578146e-04
1.0378862247e-04,5.4880055482e-01,9.1110760315e-02,4.0616538472e-07,5.8292523405e-04
1.6119490497e-05,5.2357982377e-01,1.3325163077e-01,3.2217790404e-07,5.1864127957e-04
1.5472309923e-04,5.0964118825e-01,1.9613611284e-01,2.4969514128e-07,2.6580459756e-04
1.6654161405e-05,5.1903162120e-01,1.2515211461e-01,3.0724493801e-07,5.0586635208e-04
1.7325483486e-05,5.1824681964e-01,1.2006351843e-01,3.0093984544e-07,5.1619803641e-04
2.2965025756e-05,5.1153463087e-01,2.3573442454e-01,2.5506619114e-07,2.7388807740e-04
4.1062700690e-05,5.1248812886e-01,1.8331184652e-01,2.5856684843e-07,2.8618586590e-04
9.3252590782e-05,5.1305833324e-01,1.9101354921e-01,2.5019463274e-07,2.6540136872e-04
1.5778751386e-05,5.1831845143e-01,1.1883521206e-01,3.1462124888e-07,5.0951640899e-04
1.6549952743e-04,5.0810802654e-01,2.4163995500e-01,2.5691476848e-07,2.7728062935e-04
1.7429178791e-05,5.2028182292e-01,1.2592553085e-01,3.0248560127e-07,5.0960371328e-04
1.6207759229e-05,5.1162821240e-01,1.3736101450e-01,3.1324295706e-07,5.0888853222e-04
1.1888146720e-04,5.5136193759e-01,9.6743468004e-02,3.9353977939e-07,6.0337929603e-04
1.0071199665e-04,5.1074980271e-01,2.4934280737e-01,2.5877885887e-07,2.8182337168e-04
1.6458994655e-05,5.2150017601e-01,1.0338828878e-01,3.1074013705e-07,5.0697560814e-04
2.2694644497e-04,5.1521178129e-01,1.7851651334e-01,2.5001897220e-07,2.7515419426e-04
1.0691585245e-04,5.1273332527e-01,2.0345324262e-01,2.5482412380e-07,2.7135455098e-04
1.6437999954e-05,5.1551869674e-01,1.0768267249e-01,2.9512750524e-07,5.0890878882e-04
1.5845425365e-05,5.1390590110e-01,1.2733539626e-01,3.0137050262e-07,5.1828509035e-04
1.7805356301e-04,5.1378705708e-01,2.4430083792e-01,2.5358304406e-07,2.7329934598e-04
1.0677610998e-04,5.1264307102e-01,2.1007720490e-01,2.5298914492e-07,2.7370214722e-04
1.5820582729e-05,5.2046263954e-01,1.2652649749e-01,3.1600810816e-07,5.1329635246e-04
8.9670758856e-05,5.1257746260e-01,2.3631733936e-01,2.5271519197e-07,2.7058392735e-04
